"title","amount","department","detail","views","city","date"
"
                      I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Abohar.
                    ","Paid INR 100
                        ","Commercial Tax, Sales Tax, VAT","C Form","3 views","Abohar
                      , Punjab","November 06, 2015"
"
                      I paid 1300 for a license and didn't even get it
                    ","Paid INR 1,300
                        ","Transport","Driving licence Process","21 views","Bangalore
                      , Karnataka","November 06, 2015"
"
                      I Paid Rs. 1 to Municipal Services in Ratlam.
                    ","Paid INR 1
                        ","Municipal Services","Birth Certificate","14 views","Ratlam
                      , Madhya Pradesh","November 06, 2015"
"
                      I Paid Rs. 2 to Passport in New Delhi.
                    ","Paid INR 2
                        ","Passport","Passport Delivery","71 views","New Delhi
                      , Delhi","November 05, 2015"
"
                      I Paid Rs. 350 to Municipal Services in Mandla.
                    ","Paid INR 350
                        ","Municipal Services","Birth Certificate","56 views","Mandla
                      , Madhya Pradesh","November 05, 2015"
"
                      I Paid Rs. 1 to Municipal Services in Mathura.
                    ","Paid INR 1
                        ","Municipal Services","Birth Certificate","46 views","Mathura
                      , Uttar Pradesh","November 05, 2015"
"
                      I Paid Rs. 439 to Income Tax in Chamarajanagar.
                    ","Paid INR 439
                        ","Income Tax","New PAN Card","85 views","Chamarajanagar
                      , Karnataka","November 05, 2015"
"
                      I Paid Rs. 500 to Others in Hyderabad.
                    ","Paid INR 500
                        ","Others","Others","58 views","Hyderabad
                      , Telangana","November 05, 2015"
"
                      I Paid Rs. 1 to Municipal Services in Chennai.
                    ","Paid INR 1
                        ","Municipal Services","Birth Certificate","61 views","Chennai
                      , Tamil Nadu","November 05, 2015"
"
                      I Paid Rs. 100 to Police in Patiala.
                    ","Paid INR 100
                        ","Police","Filing FIR","70 views","Patiala
                      , Punjab","November 05, 2015"
"
                      I Paid Rs. 100 to Income Tax in New Delhi.
                    ","Paid INR 100
                        ","Income Tax","New PAN Card","54 views","New Delhi
                      , Delhi","November 05, 2015"
"
                      I Paid Rs. 1 to Others in Hoshiarpur.
                    ","Paid INR 1
                        ","Others","Others","66 views","Hoshiarpur
                      , Punjab","November 05, 2015"
"
                      I Paid Rs. 1212522 to Municipal Services in Abohar.
                    ","Paid INR 12,12,522
                        ","Municipal Services","Birth Certificate","64 views","Abohar
                      , Punjab","November 05, 2015"
"
                      I Paid Rs. 66666666 to Income Tax in Arambagh.
                    ","Paid INR 6,66,66,666
                        ","Income Tax","New PAN Card","42 views","Arambagh
                      , West Bengal","November 05, 2015"
"
                      I Paid Rs. 11 to Others in Tamluk.
                    ","Paid INR 11
                        ","Others","Others","52 views","Tamluk
                      , West Bengal","November 05, 2015"
"
                      I Paid Rs. 20 to Others in Jalna.
                    ","Paid INR 20
                        ","Others","Others","49 views","Jalna
                      , Maharashtra","November 05, 2015"
"
                      Bribe for getting certificate for  shop estabilshment certificate 
                    ","Paid INR 1,000
                        ","Municipal Services","Shop Act License","58 views","Mumbai
                      , Maharashtra","November 05, 2015"
"
                      I Paid Rs. 500 to Stamps and Registration in Pune.
                    ","Paid INR 500
                        ","Stamps and Registration","Marriage Certificate","89 views","Pune
                      , Maharashtra","November 05, 2015"
"
                      I Paid Rs. 20 to Police in Nashik.
                    ","Paid INR 20
                        ","Police","Traffic Violations","46 views","Nashik
                      , Maharashtra","November 05, 2015"
"
                      I Paid Rs. 56 to Municipal Services in Ahmedabad.
                    ","Paid INR 56
                        ","Municipal Services","Birth Certificate","28 views","Ahmedabad
                      , Gujarat","November 05, 2015"
"
                      I Paid Rs. 100 to Municipal Services in Abohar.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","26 views","Abohar
                      , Punjab","November 05, 2015"
"
                      I Paid Rs. 20000 to Others in Coimbatore.
                    ","Paid INR 20,000
                        ","Others","Others","52 views","Coimbatore
                      , Tamil Nadu","November 05, 2015"
"
                      I Paid Rs. 1973 to Municipal Services in Viluppuram.
                    ","Paid INR 1,973
                        ","Municipal Services","Birth Certificate","29 views","Viluppuram
                      , Tamil Nadu","November 05, 2015"
"
                      I Paid Rs. 1200 to Municipal Services in Abhayapuri.
                    ","Paid INR 1,200
                        ","Municipal Services","Birth Certificate","29 views","Abhayapuri
                      , Assam","November 05, 2015"
"
                      I Paid Rs. 20 to Municipal Services in Amravati.
                    ","Paid INR 20
                        ","Municipal Services","Birth Certificate","32 views","Amravati
                      , Maharashtra","November 05, 2015"
"
                      I Paid Rs. 2 to Municipal Services in Trichur.
                    ","Paid INR 2
                        ","Municipal Services","Birth Certificate","30 views","Trichur
                      , Kerala","November 05, 2015"
"
                      I Paid Rs. 100 to Income Tax in Hyderabad.
                    ","Paid INR 100
                        ","Income Tax","New PAN Card","32 views","Hyderabad
                      , Telangana","November 05, 2015"
"
                      I Paid Rs. 789 to Stamps and Registration in Abhayapuri.
                    ","Paid INR 789
                        ","Stamps and Registration","Marriage Certificate","89 views","Abhayapuri
                      , Assam","November 04, 2015"
"
                      I Paid Rs. 100 to Stamps and Registration in Ahmadnagar.
                    ","Paid INR 100
                        ","Stamps and Registration","Registration of Property","60 views","Ahmadnagar
                      , Maharashtra","November 04, 2015"
"
                      I Paid Rs. 10000 to Others in Kalahandi.
                    ","Paid INR 10,000
                        ","Others","Others","73 views","Kalahandi
                      , Orissa","November 04, 2015"
"
                      I Paid Rs. 20000 to Others in Ahmedabad.
                    ","Paid INR 20,000
                        ","Others","Others","61 views","Ahmedabad
                      , Gujarat","November 04, 2015"
"
                      I Paid Rs. 2000 to Police in Daudnagar.
                    ","Paid INR 2,000
                        ","Police","Traffic Violations","88 views","Daudnagar
                      , Bihar","November 04, 2015"
"
                      I Paid Rs. 20 to Municipal Services in Thanjavur.
                    ","Paid INR 20
                        ","Municipal Services","Birth Certificate","62 views","Thanjavur
                      , Tamil Nadu","November 04, 2015"
"
                      I Paid Rs. 5000 to Municipal Services in Bhandara.
                    ","Paid INR 5,000
                        ","Municipal Services","Birth Certificate","65 views","Bhandara
                      , Madhya Pradesh","November 04, 2015"
"
                      I Paid Rs. 2000 to Commercial Tax, Sales Tax, VAT in Abhayapuri.
                    ","Paid INR 2,000
                        ","Commercial Tax, Sales Tax, VAT","C Form","63 views","Abhayapuri
                      , Assam","November 04, 2015"
"
                      I Paid Rs. 20000 to Food, Civil Supplies and Consumer Affairs in Coimbatore.
                    ","Paid INR 20,000
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","49 views","Coimbatore
                      , Tamil Nadu","November 04, 2015"
"
                      I Paid Rs. 3000 to Municipal Services in Bokaro.
                    ","Paid INR 3,000
                        ","Municipal Services","Birth Certificate","47 views","Bokaro
                      , Jharkhand","November 04, 2015"
"
                      I Paid Rs. 220 to Others in Achhnera.
                    ","Paid INR 220
                        ","Others","Others","44 views","Achhnera
                      , Uttar Pradesh","November 04, 2015"
"
                      I Paid Rs. 150 to Municipal Services in Chennai.
                    ","Paid INR 150
                        ","Municipal Services","Birth Certificate","40 views","Chennai
                      , Tamil Nadu","November 04, 2015"
"
                      I Paid Rs. 38 to Income Tax in Gorakhpur.
                    ","Paid INR 38
                        ","Income Tax","New PAN Card","37 views","Gorakhpur
                      , Uttar Pradesh","November 04, 2015"
"
                      I Paid Rs. 100000 to Income Tax in Adari.
                    ","Paid INR 1,00,000
                        ","Income Tax","New PAN Card","50 views","Adari
                      , Uttar Pradesh","November 04, 2015"
"
                      I Paid Rs. 200 to Others in New Delhi.
                    ","Paid INR 200
                        ","Others","Others","58 views","New Delhi
                      , Delhi","November 04, 2015"
"
                      I Paid Rs. 100000 to Income Tax in Nagercoil.
                    ","Paid INR 1,00,000
                        ","Income Tax","New PAN Card","60 views","Nagercoil
                      , Tamil Nadu","November 04, 2015"
"
                      I Paid Rs. 10000 to Police in Hyderabad.
                    ","Paid INR 10,000
                        ","Police","Police Harassment","56 views","Hyderabad
                      , Telangana","November 04, 2015"
"
                      I Paid Rs. 10000 to Police in Malkangiri.
                    ","Paid INR 10,000
                        ","Police","Filing FIR","57 views","Malkangiri
                      , Orissa","November 04, 2015"
"
                      I Paid Rs. 11000 to Commercial Tax, Sales Tax, VAT in Pune.
                    ","Paid INR 11,000
                        ","Commercial Tax, Sales Tax, VAT","C Form","41 views","Pune
                      , Maharashtra","November 04, 2015"
"
                      I Paid Rs. 55555 to Others in Rajkot.
                    ","Paid INR 55,555
                        ","Others","Others","40 views","Rajkot
                      , Gujarat","November 04, 2015"
"
                      I Paid Rs. 90 to Transport in Hyderabad.
                    ","Paid INR 90
                        ","Transport","New Domestic Driving License","54 views","Hyderabad
                      , Telangana","November 04, 2015"
"
                      I Paid Rs. 100 to Transport in Hyderabad.
                    ","Paid INR 100
                        ","Transport","Registration of Vehicle","56 views","Hyderabad
                      , Telangana","November 04, 2015"
"
                      I Paid Rs. 10000 to Municipal Services in Pune.
                    ","Paid INR 10,000
                        ","Municipal Services","Birth Certificate","71 views","Pune
                      , Maharashtra","November 03, 2015"
"
                      I Paid Rs. 6000 to Municipal Services in Dharmapuri.
                    ","Paid INR 6,000
                        ","Municipal Services","Birth Certificate","78 views","Dharmapuri
                      , Tamil Nadu","November 03, 2015"
"
                      I Paid Rs. 100 to Others in Jhunjhunun.
                    ","Paid INR 100
                        ","Others","Others","88 views","Jhunjhunun
                      , Rajasthan","November 03, 2015"
"
                      I Paid Rs. 10 to Others in Achhnera.
                    ","Paid INR 10
                        ","Others","Others","88 views","Achhnera
                      , Uttar Pradesh","November 03, 2015"
"
                      I Paid Rs. 500 to Municipal Services in Nellore.
                    ","Paid INR 500
                        ","Municipal Services","Birth Certificate","108 views","Nellore
                      , Andhra Pradesh","November 03, 2015"
"
                      I Paid Rs. 788 to Municipal Services in Abohar.
                    ","Paid INR 788
                        ","Municipal Services","Birth Certificate","107 views","Abohar
                      , Punjab","November 03, 2015"
"
                      LAKSHMINARAYAN THE MOST CORRUPT IN KARNATAKA STATE POLLUTION CONTROL BOARD
                    ","Paid INR 25,000
                        ","Others","Others","128 views","Bangalore
                      , Karnataka","November 03, 2015"
"
                      Paid Bribe to Get Degree
                    ","Paid INR 20,000
                        ","Education","School or College Related Activities","119 views","New Delhi
                      , Delhi","November 03, 2015"
"
                      I Paid Rs. 20 to Municipal Services in Abhayapuri.
                    ","Paid INR 20
                        ","Municipal Services","Birth Certificate","102 views","Abhayapuri
                      , Assam","November 03, 2015"
"
                      I Paid Rs. 15000 to Stamps and Registration in Nagpur.
                    ","Paid INR 15,000
                        ","Stamps and Registration","Marriage Certificate","127 views","Nagpur
                      , Maharashtra","November 03, 2015"
"
                      I Paid Rs. 111 to Municipal Services in Solapur.
                    ","Paid INR 111
                        ","Municipal Services","Birth Certificate","93 views","Solapur
                      , Maharashtra","November 03, 2015"
"
                      I Paid Rs. 344 to Municipal Services in Almora.
                    ","Paid INR 344
                        ","Municipal Services","Birth Certificate","79 views","Almora
                      , Uttarakhand","November 03, 2015"
"
                      Paid Bribe for Borewell drilling in Bangalore
                    ","Paid INR 3,700
                        ","Water and Sewage","Water Connection under Sajala","82 views","Bangalore
                      , Karnataka","November 03, 2015"
"
                      I Paid Rs. 111 to Municipal Services in Abohar.
                    ","Paid INR 111
                        ","Municipal Services","Birth Certificate","68 views","Abohar
                      , Punjab","November 03, 2015"
"
                      I Paid Rs. 1 to Municipal Services in Mumbai.
                    ","Paid INR 1
                        ","Municipal Services","Birth Certificate","69 views","Mumbai
                      , Maharashtra","November 03, 2015"
"
                      I Paid Rs. 5000 to Police in Thane.
                    ","Paid INR 5,000
                        ","Police","Filing FIR","95 views","Thane
                      , Maharashtra","November 03, 2015"
"
                      I Paid Rs. 500 to Municipal Services in Lucknow.
                    ","Paid INR 500
                        ","Municipal Services","Birth Certificate","72 views","Lucknow
                      , Uttar Pradesh","November 03, 2015"
"
                      I Paid Rs. 100 to Municipal Services in Mumbai.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","69 views","Mumbai
                      , Maharashtra","November 03, 2015"
"
                      I Paid Rs. 1000 to Police in Hazaribagh.
                    ","Paid INR 1,000
                        ","Police","Traffic Violations","84 views","Hazaribagh
                      , Jharkhand","November 03, 2015"
"
                      I Paid Rs. 50000 to Food, Civil Supplies and Consumer Affairs in Abohar.
                    ","Paid INR 50,000
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","93 views","Abohar
                      , Punjab","November 03, 2015"
"
                      I Paid Rs. 500000 to Commercial Tax, Sales Tax, VAT in Kolkata.
                    ","Paid INR 5,00,000
                        ","Commercial Tax, Sales Tax, VAT","C Form","142 views","Kolkata
                      , West Bengal","November 03, 2015"
"
                      Bribe for passport verification
                    ","Paid INR 200
                        ","Police","Police Verification for Passport","170 views","Bangalore
                      , Karnataka","November 02, 2015"
"
                      I Paid Rs. 2 to Police in Adari.
                    ","Paid INR 2
                        ","Police","Filing FIR","167 views","Adari
                      , Uttar Pradesh","November 02, 2015"
"
                      I Paid Rs. 10000 to Railways in Chandigarh.
                    ","Paid INR 10,000
                        ","Railways","Transport of Goods","188 views","Chandigarh
                      , Chandigarh","November 02, 2015"
"
                      Asked bribe at the heart of Delhi by traffic police
                    ","Paid INR 600
                        ","Police","Traffic Violations","316 views","New Delhi
                      , Delhi","November 02, 2015"
"
                      I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Durgapur.
                    ","Paid INR 100
                        ","Commercial Tax, Sales Tax, VAT","C Form","172 views","Durgapur
                      , West Bengal","November 02, 2015"
"
                      I Paid Rs. 20 to Others in Pune.
                    ","Paid INR 20
                        ","Others","Others","177 views","Pune
                      , Maharashtra","November 02, 2015"
"
                      I Paid Rs. 1200 to Others in Mumbai.
                    ","Paid INR 1,200
                        ","Others","Others","165 views","Mumbai
                      , Maharashtra","November 02, 2015"
"
                      I Paid Rs. 100 to Municipal Services in Itanagar.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","151 views","Itanagar
                      , Arunachal Pradesh","November 02, 2015"
"
                      I Paid Rs. 464001 to Municipal Services in Vidisha.
                    ","Paid INR 4,64,001
                        ","Municipal Services","Birth Certificate","160 views","Vidisha
                      , Madhya Pradesh","November 02, 2015"
"
                      I Paid Rs. 120200 to Transport in Alipurduar.
                    ","Paid INR 1,20,200
                        ","Transport","Registration of Vehicle","207 views","Alipurduar
                      , West Bengal","November 02, 2015"
"
                      I Paid Rs. 1200 to Municipal Services in Kochi.
                    ","Paid INR 1,200
                        ","Municipal Services","Birth Certificate","209 views","Kochi
                      , Kerala","November 02, 2015"
"
                      I Paid Rs. 10000 to Police in Mahesana.
                    ","Paid INR 10,000
                        ","Police","Traffic Violations","201 views","Mahesana
                      , Gujarat","November 02, 2015"
"
                      I Paid Rs. 200 to Income Tax in Pune.
                    ","Paid INR 200
                        ","Income Tax","New PAN Card","204 views","Pune
                      , Maharashtra","November 02, 2015"
"
                      I Paid Rs. 20000 to Others in Hyderabad.
                    ","Paid INR 20,000
                        ","Others","Others","223 views","Hyderabad
                      , Telangana","November 02, 2015"
"
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Kolkata.
                    ","Paid INR 500
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","268 views","Kolkata
                      , West Bengal","November 02, 2015"
"
                      I Paid Rs. 111 to Municipal Services in Chennai.
                    ","Paid INR 111
                        ","Municipal Services","Birth Certificate","256 views","Chennai
                      , Tamil Nadu","November 01, 2015"
"
                      I Paid Rs. 200 to Municipal Services in Adilabad.
                    ","Paid INR 200
                        ","Municipal Services","Birth Certificate","221 views","Adilabad
                      , Telangana","November 01, 2015"
"
                      I Paid Rs. 2000 to Income Tax in Abohar.
                    ","Paid INR 2,000
                        ","Income Tax","New PAN Card","225 views","Abohar
                      , Punjab","November 01, 2015"
"
                      I Paid Rs. 100 to Customs, Excise and Service Tax in Abohar.
                    ","Paid INR 100
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","209 views","Abohar
                      , Punjab","November 01, 2015"
