Year,2010-prices,2014-prices
1992,69.99344835,0.62613962
1993,71.74783432,0.641833811
1994,73.16735823,0.65453243
1995,75.11101405,0.671919771
1996,76.97459416,0.688590779
1997,78.34316081,0.70083355
1998,79.58797408,0.711969263
1999,80.65079712,0.721476947
2000,81.28412317,0.727142485
2001,82.28870933,0.7361292
2002,83.32241392,0.7453764
2003,84.45803305,0.755535296
2004,85.59365218,0.765694191
2005,87.34803815,0.781388382
2006,89.38632889,0.799622297
2007,91.46101769,0.818181818
2008,94.76596054,0.847746809
2009,96.81881051,0.866110966
2010,100,0.894568898
2011,104.4842396,0.934683511
2012,107.4324816,0.961057567
2013,110.1768945,0.985608231
2014,111.7856883,1
2015,111.7856883,1
2016,111.7856883,1
