"name","age","position","marketvalue","otherclub","transferfee","season","club","transfertype"
"Martin Keown","26","Centre Back","-","Everton","£2.10m",1992,"Arsenal FC","Arrivals"
"John Jensen","27","Central Midfield","-","Bröndby IF","£1.12m",1992,"Arsenal FC","Arrivals"
"Gavin McGowan","16","Defence","-","Arsenal U18 ","-",1992,"Arsenal FC","Arrivals"
"Alan Miller","22","Keeper","-","Birmingham","",1992,"Arsenal FC","Arrivals"
"Jim Will","20","Keeper","-","Sheffield Utd.","",1992,"Arsenal FC","Arrivals"
"Steve Morrow","21","Right-Back","-","Barnet","End of loan",1992,"Arsenal FC","Arrivals"
"David Rocastle †","25","Midfield","-","Leeds","£1.68m",1992,"Arsenal FC","Departures"
"Perry Groves","27","Left Wing","-","Southampton FC","£595k",1992,"Arsenal FC","Departures"
"Ty Gooden","19","Midfield","-","Wycombe","?",1992,"Arsenal FC","Departures"
"Geraint Williams","30","Midfield","-","Derby","£525k",1992,"Ipswich Town","Arrivals"
"Boncho Genchev","28","Midfield","-","Sporting","?",1992,"Ipswich Town","Arrivals"
"Paul Goddard","32","Centre Forward","-","Millwall","?",1992,"Ipswich Town","Arrivals"
"Jason Winters","20","Keeper","-","Chelsea U21","?",1992,"Ipswich Town","Arrivals"
"Clive Baker","33","Keeper","-","Coventry City","?",1992,"Ipswich Town","Arrivals"
"Glenn Pennyfather","30","Defence","-","Bristol City","End of loan",1992,"Ipswich Town","Arrivals"
"Lee Durrant","18","Midfield","-","Ipswich U18","-",1992,"Ipswich Town","Arrivals"
"Adam Tanner","18","Midfield","-","Ipswich U18","-",1992,"Ipswich Town","Arrivals"
"David Lowe","26","Right Midfield","-","Leicester City","£210k",1992,"Ipswich Town","Departures"
"Glenn Pennyfather","30","Defence","-","Bristol City","£70k",1992,"Ipswich Town","Departures"
"Glenn Pennyfather","29","Defence","-","Bristol City","Loan",1992,"Ipswich Town","Departures"
"Romeo Zondervan","33","Defensive Midfield","-","NAC Breda","?",1992,"Ipswich Town","Departures"
"Neil Webb","28","Right Midfield","-","Manchester Utd.","£648k",1992,"Nottingham Forest","Arrivals"
"Robert Rosario","26","Striker","-","Coventry City","£340k",1992,"Nottingham Forest","Arrivals"
"Gary Bannister","32","Centre Forward","-","West Brom","Free transfer",1992,"Nottingham Forest","Arrivals"
"Ray McKinnon","21","Midfield","-","Dundee United","?",1992,"Nottingham Forest","Arrivals"
"Stephen Blatherwick","18","Centre Back","-","Notts County","?",1992,"Nottingham Forest","Arrivals"
"Craig Armstrong","17","Left Midfield","-","Not. Forest U18","-",1992,"Nottingham Forest","Arrivals"
"Justin Walker","16","Midfield","-","Not. Forest U18","-",1992,"Nottingham Forest","Arrivals"
"Steve Guinan","16","Centre Forward","-","Not. Forest U18","-",1992,"Nottingham Forest","Arrivals"
"Teddy Sheringham","26","Centre Forward","-","Spurs","£2.21m",1992,"Nottingham Forest","Departures"
"Des Walker","26","Right-Back","-","Sampdoria","£1.19m",1992,"Nottingham Forest","Departures"
"Gary Bannister","32","Centre Forward","-","Stoke City","Free transfer",1992,"Nottingham Forest","Departures"
"Tommy Gaynor","29","Striker","-","Millwall","?",1992,"Nottingham Forest","Departures"
"Alan Mahood","19","Central Midfield","-","Morton","?",1992,"Nottingham Forest","Departures"
"Darren Patterson","22","Right-Back","-","Wigan","£238k",1992,"Crystal Palace","Arrivals"
"Neil Sullivan","23","Keeper","-","Wimbledon FC","Loan",1992,"Crystal Palace","Arrivals"
"Paul Williams","27","Striker","-","Sheff Wed","?",1992,"Crystal Palace","Arrivals"
"Martin O'Connor","25","Midfield","-","Walsall FC","End of loan",1992,"Crystal Palace","Arrivals"
"Ricky Newman","22","Central Midfield","-","Maidstone United","End of loan",1992,"Crystal Palace","Arrivals"
"Mark Bright","30","Striker","-","Sheff Wed","£1.19m",1992,"Crystal Palace","Departures"
"Paul Mortimer","24","Midfield","-","Brentford","Loan",1992,"Crystal Palace","Departures"
"Ricky Newman","22","Central Midfield","-","Maidstone United","Loan",1992,"Crystal Palace","Departures"
"Martin O'Connor","25","Midfield","-","Walsall FC","Loan",1992,"Crystal Palace","Departures"
"Jamie Moralee","20","Striker","-","Millwall","?",1992,"Crystal Palace","Departures"
"Stan Collymore","21","Centre Forward","-","Southend United","?",1992,"Crystal Palace","Departures"
"Neil Sullivan","23","Keeper","-","Wimbledon FC","End of loan",1992,"Crystal Palace","Departures"
"Eric Cantona","26","Centre Forward","-","Leeds","£1.26m",1992,"Manchester United","Arrivals"
"Dion Dublin","23","Centre Forward","-","Cambridge Utd.","£1.05m",1992,"Manchester United","Arrivals"
"Pat McGibbon","18","Centre Back","-","Portadown","£158k",1992,"Manchester United","Arrivals"
"Les Sealey †","35","Keeper","-","Aston Villa","Free transfer",1992,"Manchester United","Arrivals"
"Andy Arnott","18","Defensive Midfield","-","Gillingham FC","Loan",1992,"Manchester United","Arrivals"
"Fraser Digby","25","Keeper","-","Swindon Town","Loan",1992,"Manchester United","Arrivals"
"Gary Neville","17","Right-Back","-","Man Utd U18","-",1992,"Manchester United","Arrivals"
"Simon Davies","18","Midfield","-","Man Utd U18","-",1992,"Manchester United","Arrivals"
"Kevin Pilkington","18","Keeper","-","Man Utd U18","-",1992,"Manchester United","Arrivals"
"Danny Wallace","29","Attacking Midfield","-","Millwall","End of loan",1992,"Manchester United","Arrivals"
"Colin McKee","19","Striker","-","Man Utd U21","-",1992,"Manchester United","Arrivals"
"Mark Robins","22","Centre Forward","-","Norwich","£700k",1992,"Manchester United","Departures"
"Neil Webb","28","Right Midfield","-","Nottm Forest","£648k",1992,"Manchester United","Departures"
"Mal Donaghy","34","Left-Back","-","Chelsea FC","£140k",1992,"Manchester United","Departures"
"Danny Wallace","29","Attacking Midfield","-","Millwall","Loan",1992,"Manchester United","Departures"
"Ian Wilkinson","19","Keeper","-","Man Utd U21","-",1992,"Manchester United","Departures"
"Andy Arnott","19","Defensive Midfield","-","Gillingham FC","End of loan",1992,"Manchester United","Departures"
"Fraser Digby","26","Keeper","-","Swindon Town","End of loan",1992,"Manchester United","Departures"
"Phil Babb","21","Centre Back","-","Bradford City","£515k",1992,"Coventry City","Arrivals"
"Micky Quinn","30","Centre Forward","-","Newcastle","£210k",1992,"Coventry City","Arrivals"
"John Williams","24","Centre Forward","-","Swansea","£210k",1992,"Coventry City","Arrivals"
"David Rennie","28","Defensive Midfield","-","Birmingham","£84k",1992,"Coventry City","Arrivals"
"Jonathan Gould","23","Keeper","-","West Brom","Free transfer",1992,"Coventry City","Arrivals"
"Cobi Jones","22","Right Wing","-","1.FC Köln II","Free transfer",1992,"Coventry City","Arrivals"
"Roy Wegerle","28","Striker","-","Blackburn","?",1992,"Coventry City","Arrivals"
"Steve Williams","17","Keeper","-","Coventry U18","-",1992,"Coventry City","Arrivals"
"David Smith","24","Attacking Midfield","-","Bournemouth","End of loan",1992,"Coventry City","Arrivals"
"Robert Rosario","26","Striker","-","Nottm Forest","£340k",1992,"Coventry City","Departures"
"David Smith","24","Attacking Midfield","-","Bournemouth","Loan",1992,"Coventry City","Departures"
"David Smith","25","Attacking Midfield","-","Birmingham","Free transfer",1992,"Coventry City","Departures"
"Peter Billing","28","Centre Back","-","Port Vale FC","Loan",1992,"Coventry City","Departures"
"Paul Furlong","23","Centre Forward","-","Watford","Free transfer",1992,"Coventry City","Departures"
"Clive Baker","33","Keeper","-","Ipswich","?",1992,"Coventry City","Departures"
"Dean Holdsworth","23","Centre Forward","-","Brentford","£700k",1992,"Wimbledon FC","Arrivals"
"Greg Berry","21","Midfield","-","Leyton Orient","£219k",1992,"Wimbledon FC","Arrivals"
"Terry Gibson","29","Striker","-","Swindon Town","End of loan",1992,"Wimbledon FC","Arrivals"
"Alan McLeary","28","Defence","-","Millwall","Loan",1992,"Wimbledon FC","Arrivals"
"Peter Fear","18","Midfield","-","Unknown","?",1992,"Wimbledon FC","Arrivals"
"Neil Sullivan","23","Keeper","-","Crystal Palace","End of loan",1992,"Wimbledon FC","Arrivals"
"Steve Cotterill","28","Striker","-","Brighton","End of loan",1992,"Wimbledon FC","Arrivals"
"Neil Sullivan","23","Keeper","-","Crystal Palace","Loan",1992,"Wimbledon FC","Departures"
"Terry Gibson","29","Striker","-","Swindon Town","Loan",1992,"Wimbledon FC","Departures"
"Terry Phelan","25","Left-Back","-","Manchester City","?",1992,"Wimbledon FC","Departures"
"Steve Cotterill","28","Striker","-","Brighton","Loan",1992,"Wimbledon FC","Departures"
"Alan McLeary","28","Defence","-","Millwall","End of loan",1992,"Wimbledon FC","Departures"
"Mark Bright","30","Striker","-","Crystal Palace","£1.19m",1992,"Sheffield Wednesday","Arrivals"
"Chris Waddle","31","Attacking Midfield","-","Marseille","£1.05m",1992,"Sheffield Wednesday","Arrivals"
"Simon Stewart","18","Defence","-","Sheff Wed U18","-",1992,"Sheffield Wednesday","Arrivals"
"Marlon Beresford","22","Keeper","-","Burnley FC","£98k",1992,"Sheffield Wednesday","Departures"
"Steve MacKenzie","31","Attacking Midfield","-","Shrewsbury Town","?",1992,"Sheffield Wednesday","Departures"
"Paul Williams","27","Striker","-","Crystal Palace","?",1992,"Sheffield Wednesday","Departures"
"Devon White","28","Striker","-","Cambridge Utd.","£88k",1992,"Queens Park Rangers","Arrivals"
"Tony Witter","28","Centre Back","-","Millwall","Loan",1992,"Queens Park Rangers","Arrivals"
"Andy Tillson","26","Defence","-","Grimsby Town","End of loan",1992,"Queens Park Rangers","Arrivals"
"Andy Tillson","26","Defence","-","Bristol Rovers","£312k",1992,"Queens Park Rangers","Departures"
"Andy Tillson","26","Defence","-","Grimsby Town","Loan",1992,"Queens Park Rangers","Departures"
"Justin Channing","23","Midfield","-","Bristol Rovers","?",1992,"Queens Park Rangers","Departures"
"Ian Olney","22","Striker","-","Aston Villa","£626k",1992,"Oldham Athletic","Arrivals"
"Neil Pointon","27","Left-Back","-","Manchester City","£473k",1992,"Oldham Athletic","Arrivals"
"Steve Redmond","24","Centre Back","-","Manchester City","£315k",1992,"Oldham Athletic","Arrivals"
"Darren Beckford","25","Centre Forward","-","Norwich","£231k",1992,"Oldham Athletic","Arrivals"
"Paul Moulden","25","Striker","-","Brighton","End of loan",1992,"Oldham Athletic","Arrivals"
"Chris Makin","19","Left-Back","-","Wigan","End of loan",1992,"Oldham Athletic","Arrivals"
"Ian Gray","17","Keeper","-","Oldham U18","-",1992,"Oldham Athletic","Arrivals"
"Paul Moulden","24","Striker","-","Molde FK","End of loan",1992,"Oldham Athletic","Arrivals"
"Paul Moulden","25","Striker","-","Birmingham","£131k",1992,"Oldham Athletic","Departures"
"Chris Makin","19","Left-Back","-","Wigan","Loan",1992,"Oldham Athletic","Departures"
"Paul Moulden","24","Striker","-","Brighton","Loan",1992,"Oldham Athletic","Departures"
"Rick Holden","27","Left Midfield","-","Manchester City","?",1992,"Oldham Athletic","Departures"
"Derek Whyte","24","Centre Back","-","Rangers","£875k",1992,"Middlesbrough FC","Arrivals"
"Tommy Wright","26","Left Wing","-","Leicester City","£637k",1992,"Middlesbrough FC","Arrivals"
"Craig Hignett","22","Right Wing","-","Crewe Alexandra","£525k",1992,"Middlesbrough FC","Arrivals"
"Jonathan Gittens","28","Defence","-","Southampton FC","£175k",1992,"Middlesbrough FC","Arrivals"
"Chris Kamara","35","Defence","-","Luton Town","Loan",1992,"Middlesbrough FC","Arrivals"
"Dwight Marshall","27","Striker","-","Plymouth Argyle","Loan",1992,"Middlesbrough FC","Arrivals"
"Richard Liburd","19","Defence","-","Eastwood Town","£16k",1992,"Middlesbrough FC","Arrivals"
"Chris Morris","28","Defence","-","Celtic","?",1992,"Middlesbrough FC","Arrivals"
"Ben Roberts","17","Keeper","-","FC Middlesbrough U18","-",1992,"Middlesbrough FC","Arrivals"
"Andy Todd","17","Centre Back","-","FC Middlesbrough U18","-",1992,"Middlesbrough FC","Arrivals"
"Stuart Ripley","24","Midfield","-","Blackburn","£1.40m",1992,"Middlesbrough FC","Departures"
"Mark Proctor","32","Midfield","-","Tranmere Rovers","Free transfer",1992,"Middlesbrough FC","Departures"
"Gary Parkinson","24","Right-Back","-","Southend United","Loan",1992,"Middlesbrough FC","Departures"
"Bernie Slaven","31","Centre Forward","-","Port Vale FC","?",1992,"Middlesbrough FC","Departures"
"Andy Payton","24","Striker","-","Celtic","?",1992,"Middlesbrough FC","Departures"
"Dwight Marshall","27","Striker","-","Plymouth Argyle","End of loan",1992,"Middlesbrough FC","Departures"
"Brian Marwood","32","Attacking Midfield","-","Sheffield Utd.","End of loan",1992,"Middlesbrough FC","Departures"
"Nigel Spackman","31","Midfield","-","Rangers","£420k",1992,"Chelsea FC","Arrivals"
"Anthony Barness","19","Right-Back","-","Charlton","£368k",1992,"Chelsea FC","Arrivals"
"David Hopkin","22","Right Midfield","-","Morton","£315k",1992,"Chelsea FC","Arrivals"
"Steve Livingstone","23","Centre Forward","-","Blackburn","£280k",1992,"Chelsea FC","Arrivals"
"Mick Harford","33","Centre Forward","-","Luton Town","£245k",1992,"Chelsea FC","Arrivals"
"Mal Donaghy","34","Left-Back","-","Manchester Utd.","£140k",1992,"Chelsea FC","Arrivals"
"John Spencer","21","Striker","-","Rangers","Free transfer",1992,"Chelsea FC","Arrivals"
"Alec Chamberlain","28","Keeper","-","Luton Town","Loan",1992,"Chelsea FC","Arrivals"
"Gerry Peyton","36","Keeper","-","Everton","Loan",1992,"Chelsea FC","Arrivals"
"Robert Fleck","26","Striker","-","Norwich","?",1992,"Chelsea FC","Arrivals"
"Joe-Ball Allon","25","Striker","-","Port Vale FC","?",1992,"Chelsea FC","Arrivals"
"Neil Shipperley","17","Centre Forward","-","Chelsea U18","-",1992,"Chelsea FC","Arrivals"
"Damian Matthew","22","Midfield","-","Luton Town","End of loan",1992,"Chelsea FC","Arrivals"
"Nick Colgan","18","Keeper","-","Drogheda United","-",1992,"Chelsea FC","Arrivals"
"Frank Sinclair","20","Centre Back","-","West Brom","End of loan",1992,"Chelsea FC","Arrivals"
"David Lee","22","Defence","-","Plymouth Argyle","End of loan",1992,"Chelsea FC","Arrivals"
"Tom Boyd","27","Left-Back","-","Celtic","£788k",1992,"Chelsea FC","Departures"
"Graeme Le Saux","24","Left-Back","-","Blackburn","£735k",1992,"Chelsea FC","Departures"
"Ken Monkou","27","Centre Back","-","Southampton FC","£591k",1992,"Chelsea FC","Departures"
"Kerry Dixon","30","Centre Forward","-","Southampton FC","£455k",1992,"Chelsea FC","Departures"
"Mick Harford","34","Centre Forward","-","Sunderland","£200k",1992,"Chelsea FC","Departures"
