"id","fullName","club","season","APPEARANCES","ASSISTS","AVERAGE_GOALS_PER_MATCH","AVERAGE_POINTS_PER_MATCH","CLEAN_SHEETS","DRAW_RATIO","FOULED","FOULS","LOSS_RATIO","OLDEST","RED_CARDS","SHORTEST","SUBSTITUTIONS_OFF","SUBSTITUTIONS_ON","TALLEST","TOP_SCORERS","WEIGHT","WIN_RATIO","YELLOW_CARDS","YOUNGEST"
"1","Alan Shearer","Newcastle","1992-1993",21,0,0.76,1.76,9,33.33,0,0,19.05,45,0,1.83,3,0,1.83,16,76,47.62,3,45
"1016","Kevin Pressman","Leicester","1992-1993",3,0,0,2,1,0,0,0,33.33,48,0,1.85,0,0,1.85,0,94,66.67,0,48
"1024","Sean Flynn","Derby","1992-1993",7,0,0,0.57,0,14.29,0,0,71.43,47,0,1.73,2,3,1.73,0,70,14.29,0,47
"10273","Graeme Sharp","Oldham","1992-1993",21,0,0.33,1.14,1,28.57,0,0,42.86,55,0,1.85,1,1,1.85,7,74,28.57,0,55
"10274","John Ebbrell","Everton","1992-1993",24,0,0.04,1.58,10,20.83,0,0,33.33,46,0,1.78,2,0,1.78,1,75,45.83,0,46
"10277","David Speedie","Southampton","1992-1993",11,0,0,0.91,1,36.36,0,0,45.45,55,0,1.68,1,0,1.68,0,71,18.18,2,55
"1034","Alan Miller","Blackburn","1992-1993",4,0,0,0.25,1,25,0,0,75,45,0,1.91,0,1,1.91,0,86,0,0,45
"1046","Scott Sellars","Bolton","1992-1993",7,0,0,1.29,0,42.86,0,0,28.57,50,0,1.73,4,1,1.73,0,NA,28.57,0,50
"1049","Kevin Richardson","Barnsley","1992-1993",42,0,0.05,1.76,15,26.19,0,0,23.81,53,0,1.75,1,0,1.75,2,NA,50,4,53
"1050","Paul Holmes","Everton","1992-1993",4,0,0,1.75,2,25,0,0,25,47,0,1.78,0,0,1.78,0,NA,50,0,47
"1054","Barry Horne","Sheff Wed","1992-1993",34,0,0.03,1.18,7,20.59,0,0,47.06,53,0,1.78,5,0,1.78,1,76,32.35,3,53
"1063","Craig Hignett","Leicester","1992-1993",21,0,0.19,0.76,3,19.05,0,0,61.9,45,0,1.75,7,3,1.75,4,NA,19.05,0,45
"1064","Neil Shipperley","Sheff Utd","1992-1993",3,0,0.33,1,0,0,0,0,66.67,41,0,1.85,1,1,1.85,1,88,33.33,0,41
"1069","Darren Barnard","Barnsley","1992-1993",13,0,0.08,1.62,2,23.08,0,0,30.77,44,0,1.75,3,5,1.75,1,NA,46.15,0,44
"1071","Mike Sheron","Norwich","1992-1993",38,0,0.29,1.39,7,28.95,0,0,34.21,43,0,1.78,6,5,1.78,11,NA,36.84,0,43
"10770","Trevor Francis","Sheff Wed","1992-1993",5,0,0,0.8,0,20,0,0,60,61,0,1.78,1,4,1.78,0,74,20,0,61
"10773","Gordon Strachan","Coventry","1992-1993",31,0,0.13,1.16,6,29.03,0,0,41.94,58,0,1.68,3,6,1.68,4,66,29.03,3,58
"10775","Steve Bruce","Man Utd","1992-1993",42,0,0.12,2,17,28.57,0,0,14.29,55,0,1.83,1,0,1.83,5,83,57.14,6,55
"10787","Gary Megson","Norwich","1992-1993",23,0,0.04,1.83,6,13.04,0,0,30.43,56,0,1.78,3,3,1.78,1,76,56.52,2,56
"10790","Steve McMahon","Man City","1992-1993",27,0,0.04,1.63,7,29.63,0,0,25.93,54,0,1.75,4,3,1.75,1,73,44.44,7,54
"10793","Micky Adams","Southampton","1992-1993",38,0,0.11,1.29,10,26.32,0,0,39.47,54,1,1.73,0,0,1.73,4,71,34.21,6,54
"10794","Danny Wilson","Sheff Wed","1992-1993",26,0,0.08,1.62,5,34.62,0,0,23.08,55,0,1.68,8,5,1.68,2,70,42.31,1,55
"10796","Alan Cork","Sheff Utd","1992-1993",27,0,0.07,1.07,0,18.52,0,0,51.85,56,0,1.83,4,16,1.83,2,77,29.63,0,56
"10798","Steve Whitton","Ipswich","1992-1993",24,0,0.13,1.04,3,29.17,0,0,45.83,55,0,1.85,3,4,1.85,3,85,25,1,55
"10801","Andy Ritchie","Oldham","1992-1993",12,0,0.25,1.42,0,16.67,0,0,41.67,59,0,1.78,5,2,1.78,3,80,41.67,1,59
"10804","Ian Holloway","QPR","1992-1993",24,0,0.08,1.5,2,25,0,0,33.33,52,0,1.73,1,1,1.73,2,68,41.67,2,52
"1081","Geoff Thomas","Nott'm Forest","1992-1993",29,0,0.07,1.14,8,41.38,0,0,34.48,51,0,1.85,2,1,1.85,2,76,24.14,3,51
"10810","Lawrie Sanchez","Swindon","1992-1993",27,0,0.15,1.26,7,25.93,0,0,40.74,56,0,1.8,3,4,1.8,4,76,33.33,8,56
"10812","Steve Cotterill","Wimbledon","1992-1993",7,0,0.43,0.71,1,28.57,0,0,57.14,51,0,1.86,0,3,1.86,3,78,14.29,0,51
"10825","Brian Laws","Nott'm Forest","1992-1993",33,0,0,0.88,6,24.24,0,0,54.55,54,0,1.78,1,1,1.78,0,72,21.21,3,54
"1090","Keith Curle","Man City","1992-1993",39,0,0.08,1.28,9,28.21,0,0,38.46,52,0,1.83,0,0,1.83,3,NA,33.33,5,52
"1095","Simon Osborn","QPR","1992-1993",31,0,0.06,1.19,6,32.26,0,0,38.71,43,0,1.73,4,4,1.73,2,NA,29.03,0,43
"1098","Andy Sinton","Spurs","1992-1993",36,0,0.19,1.56,7,30.56,0,0,27.78,49,0,1.73,6,0,1.73,7,70,41.67,1,49
"11","Nigel Winterburn","West Ham","1992-1993",29,0,0.03,1.41,10,27.59,0,0,34.48,52,0,1.73,1,0,1.73,1,72,37.93,3,52
"11010","Mal Donaghy","Chelsea","1992-1993",40,0,0.05,1.33,11,35,0,0,32.5,58,0,1.79,3,1,1.79,2,79,32.5,0,58
"11014","Mick Harford","Wimbledon","1992-1993",28,0,0.32,1.32,7,25,0,0,39.29,56,0,1.91,4,1,1.91,9,91,35.71,5,56
"1103","Steve Sedgley","Ipswich","1992-1993",22,0,0.14,1.14,3,31.82,0,0,40.91,47,0,1.85,1,2,1.85,3,NA,27.27,2,47
"1112","Micky Stockwell","Ipswich","1992-1993",39,0,0.1,1.26,10,41.03,0,0,30.77,50,0,1.75,2,1,1.75,4,NA,28.21,1,50
"1136","Neil Pointon","Oldham","1992-1993",34,0,0.09,1.12,2,23.53,0,0,47.06,51,0,1.78,5,0,1.78,3,NA,29.41,5,51
"1137","Graham Hyde","Sheff Wed","1992-1993",20,0,0.05,1.4,2,35,0,0,30,45,0,1.73,3,6,1.73,1,NA,35,3,45
"1147","Mark Robins","Leicester","1992-1993",37,0,0.38,1.65,5,18.92,0,0,32.43,46,0,1.73,9,3,1.73,14,NA,48.65,2,46
"1154","Peter Ndlovu","Coventry","1992-1993",32,0,0.22,1.34,7,31.25,0,0,34.38,42,0,1.73,1,5,1.73,7,NA,34.38,0,42
"1164","Eddie Newton","Chelsea","1992-1993",34,0,0.15,1.32,8,35.29,0,0,32.35,44,0,1.8,2,2,1.8,5,NA,32.35,1,44
"1167","Gary Ablett","Everton","1992-1993",40,0,0,1.23,9,17.5,0,0,47.5,50,0,1.85,0,0,1.85,0,NA,35,6,50
"1190","Paul Dickov","Man City","1992-1993",3,0,0.67,2,0,0,0,0,33.33,43,0,1.68,0,2,1.68,2,74,66.67,0,43
"1196","Tommy Wright","Middlesbrough","1992-1993",36,0,0.14,1.03,5,27.78,0,0,47.22,49,0,1.86,6,2,1.86,5,83,25,0,49
"1199","Jamie Pollock","Man City","1992-1993",22,0,0.05,1.18,2,22.73,0,0,45.45,41,0,1.8,7,5,1.8,1,NA,31.82,8,41
"12088","John Keeley","Oldham","1992-1993",1,0,0,3,0,0,0,0,0,54,0,1.85,0,0,1.85,0,91,100,0,54
"1209","Richard Jobson","Man City","1992-1993",40,0,0.05,1.15,3,25,0,0,45,52,0,1.85,0,0,1.85,2,NA,30,7,52
"1219","Daryl Sutch","Norwich","1992-1993",22,0,0.09,1.5,1,27.27,0,0,31.82,44,0,1.83,2,8,1.83,2,75,40.91,0,44
"12191","Garry Thompson","QPR","1992-1993",4,0,0,1.75,0,25,0,0,25,56,0,1.85,0,4,1.85,0,NA,50,0,56
"1226","Craig Fleming","Norwich","1992-1993",24,0,0,1.29,2,16.67,0,0,45.83,44,0,1.83,0,1,1.83,0,NA,37.5,2,44
"1227","Matt Jackson","Watford","1992-1993",27,0,0.11,1.37,8,14.81,0,0,44.44,44,0,1.83,2,2,1.83,3,82,40.74,0,44
"1233","Nick Henry","Oldham","1992-1993",32,0,0.19,1.34,3,21.88,0,0,40.63,46,0,1.68,6,0,1.68,6,NA,37.5,3,46
"1238","Jeff Kenna","Birmingham","1992-1993",29,0,0.07,1.21,7,27.59,0,0,41.38,45,0,1.8,1,2,1.8,2,NA,31.03,0,45
"1244","Darren Peacock","Blackburn","1992-1993",38,0,0.05,1.53,8,26.32,0,0,31.58,47,0,1.88,1,3,1.88,2,NA,42.11,4,47
"1249","Garry Flitcroft","Blackburn","1992-1993",32,0,0.16,1.22,9,28.13,0,0,40.63,43,0,1.83,1,4,1.83,5,NA,31.25,3,43
